FROM,TO,"NO. OF 
HOSADURGA,BENGALURU,8,"0715, 0800, 0830, 0930, 1015, 1100, 1500, 
2230"
HOSANAADU,KOLAR GOLD FIELD,1,2100
HOSAPETE,BENGALURU,3,"2030, 2131, 2230"
HOSAPETE,DHARMASTALA,2,"1715, 1830"
HOSAPETE,KALABURAGI,1,2246
HOSAPETE,MYSURU,3,"1901, 2000, 2131"
HUBBALLI,BENGALURU,17,"0629, 0730, 0815, 0829, 0900, 1000, 1129, 
1300, 1500, 1915, 1931, 2031, 2101, 2131, 
2200, 2201, 2230,"
HUBBALLI,BIDAR,1,1830
HUBBALLI,CHINTAMANI,1,2000
HUBBALLI,DHARMASTALA,3,"0631, 0650, 1800"
HUBBALLI,KALABURAGI,2,"0630, 2231"
HUBBALLI,KARWAR,2,"0600, 0640,"
HUBBALLI,KUKKESUBRAMANYA,1,1515
HUBBALLI,MERCARA MADIKERI,1,1700
HUBBALLI,MYSURU,1,"0715,"
HUBBALLI,PUTTUR,1,"0830,"
HUBBALLI,SHIVAMOGGA,1,"0730,"
HUBBALLI,TADADI,1,"0800,"
HUBBALLI,UDUPI,1,1315
HUMCHA,BENGALURU,1,2000
HUNAGUND,BENGALURU,1,"0730,"
ILKAL,BENGALURU,1,2015
ILKAL,MANGALURU,1,1315
KALABURAGI,BALLARI,3,"2131, 2214, 2230"
KALABURAGI,BELAGAVI,2,"2100, 2202"
KALABURAGI,BENGALURU,10,"1330, 1401, 1501, 1602, 1633, 1700, 1826, 
1830, 1859, 1930"
KALABURAGI,DANDELI,1,1500
KALABURAGI,DAVANAGERE,4,"0715, 2004, 2100, 2130"
KALABURAGI,DHARWAD,2,"1802, 2200"
KALABURAGI,HOSAPETE,1,2246
KALABURAGI,HUBBALLI,3,"0630, 1615, 2101"
KALABURAGI,MANGALURU,1,1030
KALABURAGI,MYSURU,1,1228
KALABURAGI,RATHANAGIRI,1,1601
KALABURAGI,SHIVAMOGGA,4,"1400, 1730, 1817, 2030"
KARWAR,BALLARI,1,"0930,"
KARWAR,BENGALURU,3,"1515, 1900, 1945"
KARWAR,CHIKKAMAGALURU,2,"0830, 0930"
KARWAR,DHARMASTALA,1,"0730,"
KARWAR,HUBBALLI,3,"1045, 1115, 1230"
KARWAR,MANIPAL,1,"0530,"
KATIL,BENGALURU,1,1745
KEMPEGOWDA INTL AIRPORT,KUNDAPURA,1,2100
KEMPEGOWDA INTL AIRPORT,MERCARA MADIKERI,2,"0100, 1130"
KEMPEGOWDA INTL AIRPORT,MYSURU,18,"0201, 0300, 0401, 0530, 0800, 0915, 1030, 
1230, 1346, 1500, 1603, 1700, 1800, 1915, 
2015, 2115, 2230, 2355"
KOLLUR,BENGALURU,1,1759
FROM,TO,"NO. OF 
SERVICES",TIMING
KOPPAL,BENGALURU,2,"2034, 2202"
KUKKESUBRAMANYA,BELAGAVI,1,1515
KUKKESUBRAMANYA,BENGALURU,24,"0931, 1001, 1040, 1216, 1300, 1315, 1344, 
1400, 1416, 1431, 1451, 1614, 2030, 2105, 
2117, 2130, 2140, 2200, 2210, 2215, 2222, 
2226, 2234, 2247"
KUKKESUBRAMANYA,HORANADU,1,1050
KUKKESUBRAMANYA,MYSURU,3,"1245, 1401, 1431"
KUMTA,BALLARI,2,"0600, 0800"
KUMTA,BENGALURU,1,1801
KUNDAPURA,BENGALURU,24,"0545. 0615, 0645, 0700, 0720, 0800, 0815, 
0900, 1030, 1800, 1830, 1900, 1901, 1916, 
1923, 1936, 1952, 1956, 1959, 2000, 2033, 
2045, 2046, 2105"
KUNDAPURA,KEMPEGOWDA INTL AIRPORT,1,1900
KUNDAPURA,MANDYA,1,2015
KUNDAPURA,MYSURU,1,2031
KUPPALLI,BENGALURU,1,2100
KUSTAGI,BENGALURU,1,2100
LINGASUGUR,BENGALURU,2,"1951, 1959"
M M HILLS,BENGALURU,2,"0830, 1430"
MANDYA,KUKKESUBRAMANYA,1,2015
MANDYA,KUNDAPURA,1,1915
MANDYA,MANIPAL,1,2131
MANGALURU,BAGALKOT,1,1930
MANGALURU,BALLARI,3,"1745, 1800, 1900"
MANGALURU,BELAGAVI,2,"1214, 2130"
MANGALURU,BENGALURU,46,"0531, 0700, 0702, 0745, 0800, 0830, 0900, 
1000, 1030, 1100, 1201, 1205, 1300, 1345, 
1400, 1431, 1503, 1600, 1630, 1900, 1935, 
1959, 2000, 2030, 2040, 2050, 2059, 2100, 
2101, 2109, 2114, 2115, 2125, 2130, 2136, 
2140, 2144, 2145, 2159, 2200, 2212, 2221, 
2230, 2239, 2244, 2250"
MANGALURU,BILAGI,1,2030
MANGALURU,CHIKKAMAGALURU,1,"0530,"
MANGALURU,DAVANAGERE,2,"0645, 0730"
MANGALURU,GAJENDRAGADA,1,2130
MANGALURU,HASSAN,1,1600
MANGALURU,HUVINA HADAGALI,1,2030
MANGALURU,ILKAL,1,1801
MANGALURU,KALABURAGI,1,1430
MANGALURU,KOPPAL,1,2100
MANGALURU,KUSTAGI,1,1850
MANGALURU,MUDDEBIHAL,1,1945
MANGALURU,MYSURU,5,"1300, 1531, 1600, 2030, 2159"
MANGALURU,RAICHUR,1,1500
MANGALURU,VIJAYAPURA,1,1515
MANIPAL,BENGALURU,3,"0905, 2021, 2115"
MANIPAL,DAVANAGERE,1,2145
MANIPAL,MANDYA,1,1916
MERCARA MADIKERI,BENGALURU,18,"0559, 0701, 0730, 0802, 1000, 1100, 1300, 
1400, 1401, 1700, 2001, 2101, 2102, 2131, 
2200, 2232, 2300, 2316"
MERCARA MADIKERI,HUBBALLI,1,1930
MERCARA MADIKERI,KEMPEGOWDA INTL AIRPORT,2,"0830, 2030"
MURDESHWARA,BENGALURU,1,2001
FROM,TO,"NO. OF 
SERVICES",TIMING
MURDESHWARA,MYSURU,1,1829
MYSURU,BALLARI,3,"1135, 2100, 2202"
MYSURU,BELAGAVI,3,"2030, 2100, 2200"
MYSURU,BENGALURU,1,"0831,"
MYSURU,CHIKKAMAGALURU,5,"0615, 0700, 0730, 0800, 0930"
MYSURU,CHIKKODI,1,1630
MYSURU,DAVANAGERE,4,"0930, 2215, 2301, 2330"
MYSURU,DHARMASTALA,9,"0700, 1000, 1100, 2015, 2045, 2129, 2230, 
2244, 2300"
MYSURU,GADAG,2,"0900, 1731"
MYSURU,GANGAVATHI,1,2232
MYSURU,GOKARNA,1,"0605,"
MYSURU,HORANADU,1,"0915,"
MYSURU,HOSAPETE,3,"1931, 2000, 2200"
MYSURU,HUBBALLI,4,"0800, 1030, 1200, 1845"
MYSURU,KALABURAGI,1,1330
MYSURU,KEMPEGOWDA INTL AIRPORT,19,"0030, 0115, 0300, 0430, 0600, 0700, 0825, 
1001, 1130, 1300, 1416, 1545, 1700, 1830, 
2002, 2101, 2201, 2300, 2345"
MYSURU,KOLLUR,1,2200
MYSURU,KUNDAPURA,1,2244
MYSURU,M M HILLS,3,"0700, 0730, 0900"
MYSURU,MANGALURU,6,"1700, 1900, 2214, 2240, 2301, 2335"
MYSURU,MANIPAL,2,"2215, 2320"
MYSURU,MURDESHWARA,1,2100
MYSURU,RAICHUR,2,"1400, 1815"
MYSURU,SAGARA,1,2130
MYSURU,SHIVAMOGGA,3,"1500, 1650, 2330"
MYSURU,SINDHANOOR,1,2115
MYSURU,SIRSI,1,2115
MYSURU,SRINGERI,1,2100
MYSURU,TUMAKURU,1,1730
MYSURU,UDUPI,1,2209
MYSURU,VIJAYAPURA,2,"1300, 1545"
MYSURU,YELLAPUR,1,2230
NIPPANI,KALABURAGI,2,"0845, 0915"
PUTTUR,BENGALURU,7,"0800, 1000, 1945, 2000, 2030, 2116, 2150"
PUTTUR,HUBBALLI,1,"0745,"
RAICHUR,BELAGAVI,1,"2000,"
RAICHUR,BENGALURU,5,"1702, 2004, 2045, 2104, 2136"
RAICHUR,DAVANAGERE,2,"2000, 2102"
RAICHUR,DHARWAD,1,2116
RAICHUR,HUBBALLI,1,2206
RAICHUR,MANGALURU,1,1200
RAICHUR,MYSURU,1,1216
RANEBENNUR,DHARMASTALA,1,1645
RANEBENNUR,YADAGIRI,1,"0930,"
RATHANAGIRI,KALABURAGI,1,"2045,"
RATHANAGIRI,VIJAYAPURA,3,"0500, 0730, 2000,"
RAYBAG,BALLARI,1,"0930,"
RAYBAG,SHIVAMOGGA,1,"0700,"
RON,BENGALURU,1,2015
RON,MANGALURU,1,1620
SADALGA,BENGALURU,1,"1900,"
SAGARA,BENGALURU,3,"2105, 2134, 2201"
SAGARA,SHAKTINAGAR DEVASUGURU,1,1730
SAUNDATTI,BENGALURU,1,1930
FROM,TO,"NO. OF 
SERVICES",TIMING
SAUNDATTI,MANGALURU,1,"0745,"
SHAKTINAGAR DEVASUGURU,DANDELI,1,"1900,"
SHAKTINAGAR DEVASUGURU,SAGARA,1,1800
SHIVAMOGGA,BENGALURU,22,"0530, 0931, 1034, 1101, 1200, 1301, 1400, 
1435, 1503, 1531, 1601, 1702, 2100, 2200, 
2214, 2229, 2230, 2245, 2300, 2345, 2326, 
2345"
SHIVAMOGGA,BIDAR,1,1600
SHIVAMOGGA,DHARMASTALA,1,"0930,"
SHIVAMOGGA,DHARWAD,1,"0545,"
SHIVAMOGGA,HUBBALLI,1,1300
SHIVAMOGGA,KALABURAGI,2,"1900, 1932"
SHIVAMOGGA,MYSURU,2,"0645, 2330"
SIGANDUR,BENGALURU,2,"0645, 1900"
SINDHANOOR,BENGALURU,2,"2045, 2130"
SINDHANOOR,MYSURU,1,1948
SIRAGUPPA,BENGALURU,1,2103
SIRAGUPPA,DHARMASTALA,1,1630
SIRAGUPPA,VIJAYAPURA,1,1845
SIRSI,BELAGAVI,1,"0630,"
SIRSI,BENGALURU,9,"0630, 0700, 1145, 1900, 1930, 2015, 2100, 
2118, 2137"
SIRSI,KARWAR,1,"0700,"
SIRSI,MANIPAL,1,"0715,"
SIRSI,MYSURU,1,2030
SOMAVARPET,BENGALURU,1,1431
SRINGERI,ANEKAL,1,1845
SRINGERI,BENGALURU,11,"0830, 1130, 1400, 1840, 1945, 2015, 2030, 
2045, 2100, 2111, 2206"
SRINGERI,KOLAR,2,"1831, 1901"
SRINGERI,MYSURU,2,"0815, 2030"
SULLYA,BENGALURU,3,"2030, 2100, 2216"
TALIKOTE,BENGALURU,3,"1600, 1716, 1830,"
TALIKOTE,MANGALURU,1,1300
TERADAL,BENGALURU,1,1445
TIRTHAHALLI,BENGALURU,4,"2102, 2130, 214, 2215"
TUMAKURU,DHARMASTALA,2,"2100, 2130"
TUMAKURU,MYSURU,4,"0615, 0900, 1030, 1900,"
UDUPI,BAGALKOT,1,"0630,"
UDUPI,BENGALURU,6,"1630, 1700, 1800, 1900, 1941, 2030"
UDUPI,MYSURU,3,"2000, 2014, 2215"
VIDYANAGAR JINDAL,BENGALURU,1,2201
VIJAYAPURA,BENGALURU,5,"1800, 1907, 2006, 2028, 2130"
VIJAYAPURA,CHIKKAMAGALURU,1,1730
VIJAYAPURA,MANGALURU,1,1730
VIJAYAPURA,MYSURU,2,"1450, 1700"
VIJAYAPURA,RATHANAGIRI,6,"0915,1030, 1930, 2031, 2100, 2131"
VIJAYAPURA,SHAKTINAGAR DEVASUGURU,1,1330
VIJAYAPURA,SIRUGUPPA,1,2230
VIRAJPETE,BENGALURU,6,"0536, 0900, 1117, 1331, 1606, 2300"
YADAGIR,BENGALURU,1,1900
YADAGIR,DAVANAGERE,1,"0845,"
YADAGIR,DHARWAD,1,2102
YALABURGA,BENGALURU,5,"1801, 1902, 1903, 2000, 2030"
YELLAPUR,MANGALURU,3,"0930, 1130, 1430"
YELLAPUR,MYSURU,2,"0900, 1730,"
